Step,V2I_rate,V2V_Rate,V2V_success,Remaining_V2V_payload
0,"5.92,5.34,1.43,1.4","0.0,0.0,0.63,0.69",0.0,"42400.0,42400.0,41768.02,41713.5"
1,"8.45,1.44,3.71,1.0","0.0,0.64,0.09,1.0",0.0,"42400.0,41763.7,41674.68,40711.86"
2,"8.98,1.72,1.28,1.0","0.0,0.5,0.6,1.0",0.0,"42400.0,41258.84,41070.65,39710.38"
3,"1.0,5.84,1.34,1.17","0.99,0.0,0.7,0.85",0.0,"41407.53,41258.08,40374.67,38864.0"
4,"1.14,9.95,1.02,1.12","0.66,0.0,0.93,0.89",0.0,"40749.57,41258.08,39444.19,37978.05"
5,"1.0,10.53,1.27,1.28","0.63,0.0,0.5,0.76",0.0,"40119.23,41258.08,38948.25,37216.11"
6,"2.84,9.95,1.42,1.16","0.21,0.0,0.6,0.86",0.0,"39911.76,41258.08,38350.27,36357.99"
7,"0.99,1.44,0.47,1.23","0.98,0.65,1.0,0.8",0.0,"38934.69,40606.52,37354.23,35559.15"
8,"1.03,2.71,1.9,1.04","0.97,0.09,0.39,0.96",0.0,"37968.87,40512.68,36965.53,34600.21"
9,"4.03,9.27,1.1,1.03","0.09,0.0,0.84,0.97",0.0,"37882.51,40512.68,36130.38,33633.76"
10,"4.59,1.5,4.23,12.71","0.06,0.37,0.0,0.0",0.0,"37824.22,40137.96,36130.38,33633.76"
11,"1.0,1.72,0.95,1.37","0.97,0.51,0.72,0.7",0.0,"36857.47,39625.33,35412.49,32930.87"
12,"3.41,3.42,1.7,11.71","0.11,0.14,0.38,0.0",0.0,"36750.65,39486.83,35034.07,32930.87"
13,"1.28,8.68,1.75,1.35","0.76,0.0,0.49,0.72",0.0,"35992.51,39486.83,34539.99,32215.35"
14,"1.41,1.44,0.98,1.37","0.63,0.65,0.98,0.7",0.0,"35359.8,38832.21,33559.84,31512.51"
15,"0.99,1.0,0.33,13.83","0.95,0.8,0.97,0.0",0.0,"34412.04,38036.16,32586.54,31512.51"
16,"7.03,1.04,0.7,1.0","0.0,0.86,0.76,1.0",0.0,"34412.04,37176.05,31822.66,30510.94"
17,"0.94,2.0,4.04,2.42","1.0,0.41,0.0,0.3",0.0,"33413.35,36767.15,31822.66,30212.12"
18,"0.99,2.47,0.99,2.29","1.0,0.28,0.99,0.33",0.0,"32414.64,36488.49,30835.44,29881.74"
19,"1.79,3.23,1.72,1.7","0.45,0.15,0.49,0.53",0.0,"31961.45,36338.82,30341.49,29352.98"
20,"1.72,2.44,0.98,1.77","0.51,0.28,0.99,0.5",0.0,"31454.69,36061.17,29348.77,28851.23"
21,"2.04,1.24,3.79,3.12","0.4,0.77,0.0,0.18",0.0,"31055.94,35286.61,29348.77,28674.49"
22,"5.65,0.95,1.17,1.0","0.0,0.97,0.01,1.0",0.0,"31055.94,34315.73,29337.3,27673.13"
23,"2.01,1.19,0.29,1.0","0.41,0.78,0.99,1.0",0.0,"30647.47,33540.59,28343.88,26671.56"
