Episode,Explore,Reward,Avg V2I Rate,Avg V2V Success
0,1.0,24.4502,14.5485,0.2025
1,0.9875,22.2041,14.6501,0.18
2,0.9749,26.9413,15.3248,0.2275
3,0.9624,22.4526,15.3069,0.1825
4,0.9499,18.9702,13.7189,0.1475
5,0.9373,23.4671,14.3541,0.1925
6,0.9248,24.7096,15.013,0.205
7,0.9123,21.4402,14.4355,0.1725
8,0.8997,24.9581,14.9428,0.2075
9,0.8872,26.4357,14.3396,0.2225
10,0.8747,26.9448,14.8909,0.2275
11,0.8622,26.4485,15.2407,0.2225
12,0.8496,22.6865,15.185,0.185
13,0.8371,24.9532,14.7283,0.2075
14,0.8246,23.2134,13.878,0.19
15,0.812,22.7046,14.4176,0.185
16,0.7995,20.6811,14.0374,0.165
17,0.787,27.7169,14.6075,0.235
18,0.7744,27.7007,14.356,0.235
19,0.7619,29.6869,14.3162,0.255
20,0.7494,24.7001,14.4716,0.205
21,0.7368,25.9599,14.1023,0.2175
22,0.7243,22.6876,14.3576,0.185
23,0.7118,27.2141,14.5515,0.23
24,0.6992,25.7026,13.9047,0.215
25,0.6867,25.7002,13.67,0.215
26,0.6742,27.4533,14.556,0.2325
27,0.6616,23.7106,13.6231,0.195
28,0.6491,25.7027,13.6567,0.215
29,0.6366,27.7227,14.1866,0.235
30,0.6241,31.177,14.2089,0.27
31,0.6115,27.461,14.4597,0.2325
32,0.599,25.2135,14.0451,0.21
33,0.5865,26.2144,13.6111,0.22
34,0.5739,29.4441,14.1435,0.2525
35,0.5614,26.2101,13.7471,0.22
36,0.5489,28.6932,13.9143,0.245
37,0.5363,28.1976,13.4687,0.24
38,0.5238,24.4345,13.2029,0.2025
39,0.5113,27.9585,13.3329,0.2375
40,0.4987,26.7251,12.7239,0.225
41,0.4862,26.7044,12.9467,0.225
42,0.4737,26.7156,13.4183,0.225
43,0.4611,25.4672,13.2107,0.2125
44,0.4486,28.1982,12.87,0.24
45,0.4361,26.7071,12.9462,0.225
46,0.4235,26.6927,12.9301,0.225
47,0.411,27.2101,12.7314,0.23
48,0.3985,27.9535,12.9095,0.2375
49,0.3859,26.9522,13.1676,0.2275
50,0.3734,28.4547,12.4122,0.2425
51,0.3609,29.2033,13.0419,0.25
52,0.3484,25.9674,12.6487,0.2175
53,0.3358,29.2035,13.3088,0.25
54,0.3233,30.7049,12.8094,0.265
55,0.3108,31.1984,13.4699,0.27
56,0.2982,28.7203,12.7812,0.245
57,0.2857,28.2114,12.8253,0.24
58,0.2732,29.2021,12.9604,0.25
59,0.2606,29.457,13.2378,0.2525
60,0.2481,30.206,13.3119,0.26
61,0.2356,28.4538,12.9201,0.2425
62,0.223,29.2128,13.4182,0.25
63,0.2105,29.9442,13.0817,0.2575
64,0.198,30.224,13.2506,0.26
65,0.1854,28.2137,12.6334,0.24
66,0.1729,29.7059,13.6276,0.255
67,0.1604,29.4521,13.4161,0.2525
68,0.1478,29.4744,12.662,0.2525
69,0.1353,29.6992,13.0576,0.255
70,0.1228,29.7243,12.7994,0.255
71,0.1103,28.9633,12.8391,0.2475
72,0.0977,29.6937,12.9785,0.255
73,0.0852,29.7145,12.9751,0.255
74,0.0727,29.4672,13.1943,0.2525
75,0.0601,28.9615,12.4865,0.2475
76,0.0476,29.2023,12.985,0.25
77,0.0351,29.4549,12.9498,0.2525
78,0.0225,28.9591,13.2247,0.2475
79,0.01,29.9746,13.0243,0.2575
80,0.01,29.9757,13.0037,0.2575
81,0.01,29.4638,12.5716,0.2525
82,0.01,29.4642,12.8815,0.2525
83,0.01,29.9595,12.83,0.2575
84,0.01,28.7018,12.68,0.245
85,0.01,29.2166,13.0956,0.25
86,0.01,29.963,12.9573,0.2575
87,0.01,30.2031,13.1844,0.26
88,0.01,28.9676,12.7977,0.2475
89,0.01,29.7169,13.1125,0.255
90,0.01,29.453,12.7285,0.2525
91,0.01,29.466,12.9281,0.2525
92,0.01,29.9595,12.9184,0.2575
93,0.01,29.6947,13.1715,0.255
94,0.01,28.9612,12.9585,0.2475
95,0.01,29.707,12.9487,0.255
96,0.01,29.9571,13.0774,0.2575
97,0.01,28.4735,12.7859,0.2425
98,0.01,29.965,13.2043,0.2575
99,0.01,28.9737,12.9558,0.2475
